p1,p2
"C'mon, you're going out with the guy! There's gotta be something wrong with him!",There's nothing to tell! He's just some guy I work with!
"Wait, does he eat chalk?","All right Joey, be nice. So does he have a hump? A hump and a hairpiece?"
"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",
Sounds like a date to me.,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",
"Then I look down, and I realize there's a phone... there.","Oh, yeah. Had that dream."
That's right.,Instead of...?
No.,Never had that dream.
And they weren't looking at you before?!,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
"This guy says hello, I wanna kill myself.",Hi.
"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...","Are you okay, sweetie?"
Carol moved her stuff out today.,Cookie?
Let me get you some coffee.,Ohh.
Ooh! Oh!,Thanks.
Fine! Be murky!,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?"
No you don't.,"I'll be fine, alright? Really, everyone. I hope she'll be very happy."
And you never knew she was a lesbian...,"No I don't, to hell with her, she left me!"
Sometimes I wish I was a lesbian... Did I say that out loud?,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?","I told mom and dad last night, they seemed to take it pretty well."
"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",Sorry.
"Strip joint! C'mon, you're single! Have some hormones!",
,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
Rachel?!,And I just want a million dollars!
Can I get you some coffee?,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
"Hi, sure!","De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?"
,Hi.
"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.","So you wanna tell us now, or are we waiting for four wet bridesmaids?"
"Ooh, I was kinda hoping that wouldn't be an issue...",Who wasn't invited to the wedding.
Tuna or egg salad? Decide!,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it."
"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",I'll have whatever Christine is having.
"If I let go of my hair, my head will fall off.",
I say push her down the stairs.,"Ooh, she should not be wearing those pants."
,Push her down the stairs! Push her down the stairs! Push her down the stairs!
You can see where he'd have trouble.,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
"Well, I guess we've established who's staying here with Monica...","Look Daddy, it's my life. Well maybe I'll just stay here with Monica."
,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!"
"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...","Just breathe, breathe.. that's it. Just try to think of nice calm things..."
I helped!,I'm all better now.
"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.","Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing."
"What, like there's a rule or something?","Joey, stop hitting on her! It's her wedding day!"
"Please don't do that again, it's a horrible sound.",
"Oh God, is it 6:30? Buzz him in!","It's, uh, it's Paul."
"Paul the Wine Guy, Paul?",Who's Paul?
He finally asked you out?,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
"Ooh, this is a Dear Diary moment.",Yes!
"Please, no, go, that'd be fine!","Rach, wait, I can cancel..."
That'd be good...,"Are, are you okay? I mean, do you want me to stay?"
"No, go on! It's Paul the Wine Guy!",Really?
,"What does that mean? Does he sell it, drink it, or just complain a lot?"
Hey! Paul! Hi! The Wine Guy! Hey!,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul."
"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...","I'm sorry, I didn't catch your name. Paul, was it?"
"Change! Okay, sit down. Two seconds.",A wandering?
,"Ooh, I just pulled out four eyelashes. That can't be good."
Yeah?,"Hey, Paul!"
"Shut up, Joey!","Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!","So Rachel, what're you, uh... what're you up to tonight?"
"Yes, and we're very excited about it.","Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
"Okay, sure.","Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day."
"Oh, I wish I could, but I don't want to.","Hey Pheebs, you wanna help?"
"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.","Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- Thank you. La-la-la-la...ohhh!"
I'm thinking we've got a bookcase here.,
What's this?,It's a beautiful thing.
Which goes where?,I would have to say that is an 'L'-shaped bracket.
,I have no idea.
All finished!,Done with the bookcase!
"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.","This was Carol's favorite beer. She always drank it out of the can, I should have known."
"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?","Yes, please don't spoil all this fun."
"Oh, God.",You guys.
Oh my God!,You got screwed.
"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",Oh my God!
"Well, you might try accidentally breaking something valuable of hers, say her-","My brother's going through that right now, he's such a mess. How did you get through it?"
"That's one way! Me, I- I went for the watch.",-leg?
"Ooh, steer clear of you.","You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too...",That's right.
Shut up!,I'm divorced! I'm only 26 and I'm divorced!
That only took me an hour.,You must stop!
"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...","Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
I honestly don't know if I'm hungry or horny.,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
"Ever since she walked out on me, I, uh...",Stay out of my freezer!
"No, it's, it's more of a fifth date kinda revelation.","What?..... What, you wanna spell it out with noodles?"
Isn't there?,"Oh, so there is gonna be a fifth date?"
"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.","Yeah... yeah, I think there is. -What were you gonna say?"
It's okay...,"Oh God, oh God, I am sorry... I am so sorry..."
Two years.,I know being spit on is probably not what you need right now. Um... how long?
"So you still think you, um... might want that fifth date?",Wow! I'm-I'm-I'm glad you smashed her watch!
"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.","...Yeah. Yeah, I do."
"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",Oh...see... but Joanne loved Chachi! That's the difference!
"Angela's the screamer, Andrea has cats.","Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,"
"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",Right. Thanks. It's June. I'm outta here.
"Isn't this amazing? I mean, I have never made coffee before in my entire life.",
Congratulations.,That is amazing.
