p1,p2
,"Ok, so this is pretty much what's happened so far. Ross was in love with Rachel since, you know, forever, but every time he tried to tell her, something kind of got in the way, like cats, and Italian guys. Finally Chandler was like ""forget about her"" but when Ross was in China on his dig, Chandler let it slip that Ross was in love with Rachel. She was like, ""Oh my god."" So she went to the airport to meet him when he came back, but what she didn't know was, that Ross was getting off the plane with another woman. Uh-Oh! So, that's pretty much everything you need to know. But, enough about us. So, how've you been?"
,Oh my god. Oh my god. Excuse me. Move! Move! Emergency! Excuse me!
Rach!,"Oh, there you are! Hi! Oh, so, so, how was China, you?"
"It was, it was great. Oh, what happened?",What?
You're bleeding.,"I am? Oh, look at that, yes I am. Enough about me, enough about me, Mr. Back from the Orient. Come on. I wanna hear everything! Everything."
"Well, where do I start? This is Julie. Julie, this is Rachel.","These are, these aren't for you. These are for you. Welcome to our country."
Thank you. I'm from New York.,"Ok, well, not a problem. We'll just use them to stop the bleeding. Ok. Baggage claim? Ok."
,No way!
"I'm telling you, she went to the airport, and she's gonna go for it with Ross!","Oh my god. This is huge. This is bigger than huge. This is like, all right, what's bigger than huge?"
"Um, this?",Yes.
"Guys, you got your hair cut.","Yes, yes, we did, thanks to Vidal Buffay."
"'Cause, you know, if you don't look good, we don't look good. I love that voice.","Airport, airport. Ross, not alone, Julie, arm around her. Cramp, cramp."
"Ok, I think she's trying to tell us something. Quick, get the verbs.","You, you, you said he liked me. You, you slowpokes!"
"That's all right, Rach, we got the bags. Hi, hello. Julie, this is my sister Monica. This is Chandler. Phoebe. Joey, what up?",What up?!
"Everyone, this is Julie.",Julie.
Ohh. Hi!,"Hi, but I'm not here, you haven't met me. I'll make a much better first impression tomorrow when I don't have 20 hours of cab and plane on me."
And bus.,Oh my god.
The screaming guy?,And the spitting?
You gotta hear this story.,"We're on this bus, that's easily 200 years old..."
200 at least.,...and this guy...
"And the chicken pooped in her lap. Oh, I'm so sorry. I just gave away the ending, didn't I? Oh! It's just, I just heard this story in the cab, and it is all I can think about.","This is amazing. I mean, how, how did this happen?"
"Well, Ross and I were in grad school together.","But we haven't seen each other since then. Well I land in China, guess who's in charge of the dig."
"Julie! Julie, isn't that great? I mean, isn't that just kick-you-in-the-crotch, spit-on-your-neck fantastic?",It's an expression.
"Well, we just wanted to say a quick hi, and then we're gonna go see the baby.",And then we've gotta get some sleep.
"Yeah, it's really 6:00 tomorrow night our time.","Well, listen, don't tell us what's gonna happen though, 'cause I like to be surprised."
Bye.,
"Hey, Rach, can I get some coffee?","Yeah, sure."
Thank you.,"Hey, Rach, can I get..."
Did you talk to him?,Not yet.
"Then, no.","So what the hell happened to you in China? I mean, when last we left you, you were totally in love with, you know."
"I know, I know I was, but there was always this little voice inside that kept saying it's never gonna happen, move on. You know whose voice that was?",God?
"It was you, pal.","Well, maybe it was God, doing me."
"Look, you were right. She looks at me and sees a friend, that's all. But then I met Julie, and I don't know, we're havin' a great time. And I have to say, I never would've gone for it with her if it hadn't been for you.","Well, you owe me one, big guy."
Here's your lemonade.,I didn't order lemonade.
"Oh. Well then, you better go take that back because they're gonna charge you for that.",But...
"Go-go-go-go, come on! So uh, what did you find out?","He said...he said, he said that they're having a great time. I'm sorry. But, the silver lining, if you wanna see it, is that he made the decision all by himself! Without any outside help whatsoever."
How is that the silver lining?,You have to really wanna see it.
,"Ironically, these are the guys who were picked last in gym."
"Pheebes, you know what I'm thinking?","Oh, ok. How, it's been so long since you've had sex, you're wondering if they've changed it?"
"No, although now that's what I'm thinking.","All right, so what were you thinking?"
"Well, I was thinking, that you gave the guys such great haircuts, I thought, maybe you'd like to do mine?",Ohh! No.
Why not?,"Because, I'm just, I'm incredibly anal and an unbelievable control freak."
No you're not.,"I know I'm not, but you are, and I was trying to spare your feelings."
"Hello? Oh, hi. Yeah, hold on a second. Ross, it's Julie, for you.",Hello? Hi.
Hi. Anybody know a good tailor?,Needs some clothes altered?
"No, no, I'm just looking for a man to draw on me with chalk.","Why don't you go see Frankie? My family's been goin' to him forever. He did my first suit when I was 15. No wait, 16. No, 'scuse me, 15. All right, when was 1990?"
Okay. You have to stop the Q-tip when there's resistance!,"Ok, ok, sweetheart, I'll see you later. Ok, bye. What? Oh, that is so sweet. No, no, ok, you hang up. Ok, ok, one, two, three. Well you didn't hang up either."
She didn't hang up either!,"Ok, no, no, you hang up. You, you, y..."
"Sorry, I thought you were talking to me.",Rachel! I'll just call her back.
Okay!,"Hi? Sorry, we got disconnected..."
"Ok, ok, ok. How did this happen to me? How did this happen to me? A week ago, two weeks ago, I was fine. Ross was just Ross, just this guy. Now he's Rrrooossss, oh, this really great guy that I can't have.","Sweetie, I wanted you to have him too."
"I know you did. I'm just gonna deal with it, I'm just gonna deal with it. I gotta get out of here.","Ok, I don't care what you guys say, something's bothering her."
,"You know, I think I was sixteen."
"Please, just a little bit off the back.","I'm still on ""no."""
"Uh, morning. Do you guys think you could close your eyes for just a sec?","No-no-no-no-no, I'm not fallin' for that again."
What's goin' on?,"Well, I sorta did a stupid thing last night."
What stupid thing did you do?,Bon giorno tutti!
Ewww!,
"Ok, Paulo, why don't you just go get dressed, and then you be on your way, ok, bye-bye.","Rachel, how did this happen?"
"I don't know, I just kinda ran into him last night.",Where?
